Ticker,AAPL,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,MSFT,NVDA,PFE,SPY,UNH,WMT,XOM
AAPL,1.0,0.582,0.300,0.143,0.459,0.341,0.213,0.202,0.208,0.545,0.540,0.297,0.704,0.269,0.331,0.030
AMZN,0.582,1.0,0.320,0.087,0.631,0.315,-0.138,0.232,-0.155,0.625,0.668,-0.004,0.672,0.009,0.213,-0.073
BAC,0.300,0.320,1.0,0.558,0.337,0.849,0.164,0.878,0.220,0.270,0.328,0.030,0.701,0.227,0.241,0.451
CVX,0.143,0.087,0.558,1.0,0.067,0.447,0.229,0.510,0.225,0.021,0.120,0.154,0.400,0.287,0.050,0.826
GOOGL,0.459,0.631,0.337,0.067,1.0,0.416,-0.003,0.260,-0.021,0.543,0.497,0.162,0.586,0.081,0.184,-0.057
GS,0.341,0.315,0.849,0.447,0.416,1.0,0.218,0.865,0.212,0.367,0.330,0.126,0.726,0.240,0.294,0.333
JNJ,0.213,-0.138,0.164,0.229,-0.003,0.218,1.0,0.238,0.515,0.055,-0.102,0.381,0.297,0.276,0.281,0.174
JPM,0.202,0.232,0.878,0.510,0.260,0.865,0.238,1.0,0.161,0.279,0.317,0.081,0.680,0.150,0.265,0.389
KO,0.208,-0.155,0.220,0.225,-0.021,0.212,0.515,0.161,1.0,0.115,-0.093,0.190,0.307,0.274,0.332,0.190
MSFT,0.545,0.625,0.270,0.021,0.543,0.367,0.055,0.279,0.115,1.0,0.696,0.151,0.723,0.031,0.333,-0.093
NVDA,0.540,0.668,0.328,0.120,0.497,0.330,-0.102,0.317,-0.093,0.696,1.0,0.179,0.677,-0.087,0.203,-0.034
PFE,0.297,-0.004,0.030,0.154,0.162,0.126,0.381,0.081,0.190,0.151,0.179,1.0,0.282,0.299,0.014,-0.072
SPY,0.704,0.672,0.701,0.400,0.586,0.726,0.297,0.680,0.307,0.723,0.677,0.282,1.0,0.243,0.483,0.192
UNH,0.269,0.009,0.227,0.287,0.081,0.240,0.276,0.150,0.274,0.031,-0.087,0.299,0.243,1.0,0.142,0.168
WMT,0.331,0.213,0.241,0.050,0.184,0.294,0.281,0.265,0.332,0.333,0.203,0.014,0.483,0.142,1.0,-0.063
XOM,0.030,-0.073,0.451,0.826,-0.057,0.333,0.174,0.389,0.190,-0.093,-0.034,-0.072,0.192,0.168,-0.063,1.0
