Ticker,Sector,Volatility_mean,Volatility_std,Volatility_min,Volatility_max,MonthlyReturn_mean,Months
NVDA,Technology,23.11,8.78,6.87,52.79,5.19,61
AMZN,Technology,14.38,5.43,5.79,29.92,0.66,61
GOOGL,Technology,13.74,4.42,5.58,23.89,2.43,61
GS,Financial,12.89,4.57,5.53,25.99,2.58,61
BAC,Financial,12.8,4.56,5.01,24.97,1.42,61
UNH,Healthcare,12.2,7.42,5.12,39.66,0.41,61
XOM,Energy,12.14,6.25,4.84,31.87,2.11,61
AAPL,Technology,12.11,4.25,4.21,25.47,1.84,61
PFE,Healthcare,11.8,4.72,4.94,29.77,-0.3,61
CVX,Energy,11.33,6.25,4.91,39.36,1.25,61
JPM,Financial,11.18,4.36,5.0,25.79,1.99,61
MSFT,Technology,10.8,3.35,4.05,18.47,1.34,61
WMT,Consumer,9.0,3.86,3.87,24.07,1.4,61
JNJ,Healthcare,7.61,2.4,3.89,12.64,0.81,61
KO,Consumer,7.12,2.76,3.06,14.91,0.76,61
SPY,Index,7.03,2.85,2.97,15.36,1.21,61
